Type of Review,Name,Classification,Company,Distillery,Release Date,Proof,Age,Mashbill,Color,MSRP,Website,Nose,Palate,Finish,Overall,Overall Rating,Written By,Link
Capsule Review,Last Drop Distillers XIX: 1980 Kentucky Straight Bourbon,Classification: Straight Bourbon,Company: Sazerac UK Ltd T/A Last Drop Distillers,Distillery: Buffalo Trace (Known as the George T. Stagg Distillery at the time of distillation),Release Date: November 2020,Proof: 90,Age: 20 Years (Stored in steel tanks for an additional 20 years before bottling),Mashbill: Undisclosed,Color: Medium Copper,"MSRP: $4,600 (2020)",Official Website,Leather | Aged oak | Earthy | Raisin | Dark fruit | Dark cherry | Tobacco | Complex & inviting with distinct evidence of its age,Toffee | Coconut | Leather | Tobacco leaf | Plum | Dark cherry | Graham cracker | Seasoned oak | Spice develops | Viscous mouthfeel with a complex delivery of flavors that’s rivaled by very few,Dark Cherry | Cigar box | Aged oak | Dark chocolate | Spice tapers | Dark cherry note lingers | Caps off an incredible sip,"Founded by James Espey and Tom Jago, Last Drop Distillers seeks to find and bring to life the rarest of the rare whiskeys, offering them in extremely limited quantities and mind-numbing prices. However, unlike many limited releases that dominate our Release Calendar, Last Drop Distillers is limited in the truest sense - the whiskeys they offer cannot simply be reproduced. Generally relics of a time past and often boasting a high age, they are not easily replicated.

Release XIX is a bourbon distilled by Gary Gayheart, former master distiller at George T. Stagg Distillery (now known as Buffalo Trace) and master to his then apprentice, Harlen Wheatley, now master distiller at Buffalo Trace. A $4,600 MSRP bourbon that is limited to only 240 bottles and will surely sell for much more, I fear too much of this release will be resolved to the shelves of collectors and bottles will remain sealed. Thankfully, a 50mL sample is included with each full bottle, so hopefully that encourages buyers to at least give it a taste.  

To my surprise (and to my disdain because I probably won’t ever experience another pour of this!) it is, unequivocally, insanely good. An explosion of complex flavors in near perfect balance that somehow captures the magic of a whiskey in its prime, and doing so at a proofpoint that allows every one of the subtleties to show through. As a frame of reference, consider the now retired tanked versions of Sazerac 18 Year and Van Winkle Family Reserve Rye. Two of my all-time favorites. Now, take the characteristics of those whiskeys, ryes that were frozen in time at their absolute best, keep that magic and simply apply a layer of bourbon flavor characteristics to them. That’s Last Drop Distillers XIX Bourbon.",5,Nick,https://www.breakingbourbon.com/review/last-drop-distillers-xix-1980-kentucky-straight-bourbon
Capsule Review,Stagg Jr. Bourbon - Batch 14,Classification: Straight Bourbon,Company: Sazerac Company,Distillery: Buffalo Trace,Release Date: Summer 2020 (Ongoing),Proof: 130.2,Age: NAS,Mashbill: Undisclosed,Color: Molasses,MSRP: $60 (2020),Official Website,Brown sugar | Honey | Pecan | Maple | Thick oak | Beautifully rich,Dark brown sugar | Rich vanilla | Thick oak | Dark cherry | Apple | Thick & syrupy,Vanilla | Sugary oak | Dark chocolate | Light Maple | Ample heat | Rich & long lasting,"Over the last few years, Stagg Jr. has been standing-in for its senior counterpart. As George T. Stagg struggles to reach the consistently high ratings it once did, Stagg Jr. has picked up its slack. In fact, we gave Stagg Jr.’s 2019 Batch 12 a stellar review, even naming it our Whiskey of the Year. A year later, Batch 14 reaches similar high marks, completely nailing what it means to be a “Stagg” bourbon. Once again it is steeped in brown sugar, rich vanilla, and thick oak, except this edition forgoes previous batches’ ample amounts of molasses and cherry notes. Instead, it introduces honey, pecan, and apple. It’s not lightyears different than recent batches, but with whiskey this good, I’ll gladly take what it's offering.  ",4.5,Eric,https://www.breakingbourbon.com/review/stagg-jr-bourbon-batch-14
Capsule Review,Thomas H. Handy (2020),Classification: Straight Rye,Company: Sazerac Company,Distillery: Buffalo Trace,Release Date: September 2020 (Annual release),Proof: 129 (Barrel Proof),"Age: 6 Years, 2 Months",Mashbill: Undisclosed,Color: Dark Copper,MSRP: $99 (2020),Official Website,Bubblegum | Cherry fruit snacks | Black currant | Fruit-forward and quite sweet | Fantastic,Baking spice | Raisin | Orange | Fruit punch | Mid-palate cinnamon | Straightforward,Cherry | Light cinnamon | Minor lingering anise aftertaste | More sweet than spicy | Warming,"Often leaning heavily on spice and heat, this year’s release finds a way to balance its spice by countering it with a perfect amount of fruity sweetness. At the same time, it forgoes its standard jetfuel-like temperament and is warming instead of hot. Despite the sip being straightforward and not overly complex, the highlight of this whiskey is that it is amazingly balanced. Those are two words I thought I’d never use to describe Thomas H. Handy, but it absolutely nails its intensity of its fruity sweet flavors against its typical cinnamon-forward profile. There is no doubt in my mind, this is the best Thomas H. Handy in a long, long time - possibly ever.",4.5,Eric,https://www.breakingbourbon.com/review/thomas-h-handy-2020
Capsule Review,Barrell Bourbon Batch 025,Classification: Blend of Straight Bourbons,Company: Barrell Craft Spirits,"Distillery: Sourced (from undisclosed distilleries in Indiana, Tennessee, and Kentucky)",Release Date: August 2020,Proof: 113.4 (Cask Strength),"Age: 5 Years, 6 Months (Blend of 5.5, 9, 13,15 year old barrels per company website)",Mashbill: Undisclosed,Color: Golden Copper,MSRP: $80 (2020),Official Website,Fruit-forward | Strawberry | Lemon zest | Plum | Sunflower seeds | Soft oak | Mild but complex,Oak infused fruit punch | Rhubarb pie | Marmalade | Floral | Mouthcoating & thick | Excellent,Ramp of oak & heat | Marzipan | Leather | Coconut | Dry | Some bitterness,"It’s been a heck of a journey Barrell has taken us all on over the last 24 bourbon batches, and it would be expected that Barrell would pull out all the stops for their 25th. Looking at the label for their latest batch, it’s hard not to notice the 5.5 year age statement. It doesn’t exactly scream special. This is a great example of don’t judge a book by its cover since it’s the TTB’s regulations that require companies to state the youngest whiskey in their blend. This in fact includes 9, 13, and 15 year old bourbons.

What Barrell does deliver with Batch 025 is what you’d expect: a crowd-pleaser. From its complex nose and its delicious oak infused fruit-forward palate, it’s only the finish that comes up a bit short. There’s way too much to love with this release than find fault with, and it easily falls into the buy category. Batch 025 is a fitting tribute to what Barrell Craft Spirits has accomplished so far.",4,Eric,https://www.breakingbourbon.com/review/barrell-bourbon-batch-025
Capsule Review,Barrell Craft Spirits 15 Year Bourbon (2020 Release),Classification: Straight Bourbon,Company: Barrell Craft Spirits,"Distillery: Undisclosed Distilleries in Indiana, Kentucky & Tennessee",Release Date: October 2020,Proof: 104.9 (Barrel Proof),Age: 15 Years,Mashbill: Undisclosed,Color: Mahogany,MSRP: $250 (2020),Official Website,Raspberry | Strawberry | Wet oak | Chewable fruit vitamins | Orange rind | Potent and very fruity,Dark raspberry | Cherry | Coffee | Toasted oak | Brief bursts of tropical fruit | Deep & rich,Thick oak | Tannin | Honey | Mint | Lingering dark cherry,"This is the third release of Barrell Craft Spirits’ premium bourbon, and arguably the best one yet. Likely utilizing the same bourbon sources as their most recent numbered bourbon batches, except this release comes with an impressive 15 year age statement. Barrell once again works their magic and finds a way to offer a heavily oaked bourbon yet still retains the expressive fruity side that so many love about their numbered batches. Never venturing too far towards tannic oak or too far tropical and sweet, the company strikes a balanced nirvana. Its low proofpoint for a barrel proof whiskey provides it with a deep richness of flavors instead of an over reliance on heat. At the same time, I would have preferred more proof from the whiskey to really drive its point home. Its $250 MSRP does feel a bit pricey, but on the other hand, its three different sourced origins and high age statement add a ton of complexity, making it stand out in a crowded year of limited edition bourbons. This release consists of a total of 12,000 bottles.",4,Eric,https://www.breakingbourbon.com/review/barrell-craft-spirits-15-year-bourbon-2020-release
Capsule Review,Elijah Craig Barrel Proof Batch C920,Classification: Straight Bourbon,Company: Heaven Hill,Distillery: Heaven Hill,Release Date: November 2020,Proof: 132.8,Age: 12 Years,"Mashbill: 78%, 12% Malted Barley, 10% Rye",Mahogany,$65 (2020),Official Website,Cherry | Orange marmalade | Allspice | Fresh dough | Thick oak,Black cherry | Rich oak | Dark brown sugar | White pepper | Cocoa powder,Leather | Dark chocolate | Toasted walnut | Sugary oak | Long,"Potent, intense, consistent. Those three words sum up Elijah Craig Barrel Proof in a nutshell. Where the brand can now sometimes feel like been-there-done-that, there is no denying that this bourbon always brings its “A” game. Its flavors are always potent, proof intense, and it consistently delivers a quality pour time and time again. It might not always reach the height some of its competitors reach with certain releases, but its price and availability always make up for it. Batch C920 doesn’t quite match the excellent Batch B520 from earlier this year, but it's close, and probably splitting hairs. One can never have enough Elijah Craig Barrel Proof, and Heaven Hill proves over and over that it's one of the company’s marque releases.",4,Eric,https://www.breakingbourbon.com/review/elijah-craig-barrel-proof-batch-c920
Capsule Review,George T. Stagg (2020),Classification: Straight Bourbon,Company: Sazerac Company,Distillery: Buffalo Trace,Release Date: September 2020 (Annual release),Proof: 130.4,"Age: 15 Years, 4 Months",Mashbill: Undisclosed,Color: Dark Mahogany,MSRP: $99 (2020),Official Website,Burnt caramel | Dark chocolate | Cigar box | Charred oak | Stewed apples | Rumtopf | Light before becoming potent,Spice | Vanilla | Leather | Straight-forward | Rich but not overly bold,Vanilla | Caramel | Graham cracker | Slight mustiness | Dry | Flush of heat before subsiding | Cinnamon aftertaste | Long & complex,"After dropping to its lowest proof ever in 2019, Stagg returns to its usual 130 proof range. Interestingly, the usual robustness typically associated with Stagg doesn’t return with it to the same degree. Out of the gate, its nose is light, requiring extra time and a swirl of the glass to open up. Its palate follows in much the same way, lacking the typical Stagg bearhug that has come to define the brand. Spice is the showcase of the palate, overshadowing its medium-intensity vanilla and leather notes. It’s in its finish that the whiskey turns itself around as it grows in complexity and intensity, making for an exceptional finish. Far from being flawed, the 2020 Stagg struggles to reach the amazing heights of years past throughout its entire sip. It’s a solid drinker overall that at times is overshadowed by the company’s own ever impressive Stagg Jr. and its competition that have stepped up their game, offering comparable and worthy Stagg alternatives.",4,Eric,https://www.breakingbourbon.com/review/george-t-stagg-2020
Capsule Review,King of Kentucky 2020 Release,Classification: Straight Bourbon,Company: Brown-Forman,Distillery: The Brown-Forman Distillery,Release Date: September 2020 (Annual release),Proof: 130.6 (Cask Strength - Single Barrel - Proofs range from 125-135),Age: 14 Years,"Mashbill: 79% Corn, 11% Rye, 10% Malted Barley",Color: Mahogany,MSRP: $250 (2020),Official Website,Aged oak | Cigar box | Leather | Honey | Dark cherries,Big aged oak | Rye spice | Tobacco | Chocolate | Caramel | Vanilla | Musty | Robust & warming,Aged oak | Dr. Pepper sweet note | Light cinnamon | Dry | Lingering,"King of Kentucky is back with its third annual edition, comprising approximately 1,900 bottles originating from 32 barrels with an average yield of only 26%. While all barrels were distilled on June 27, 2006, bottles will offer slightly different flavor profiles depending on the barrel and proof as this is a single barrel bourbon. This year’s edition is no different than the 2019 or 2018 editions, featuring oak but still providing an incredibly complex, bold, full-flavored sip. It’s easily on my short-list of possible candidates for favorite whiskeys of the year again this year.",4,Nick,https://www.breakingbourbon.com/review/king-of-kentucky-2020-release
Capsule Review,Little Book Chapter 4 “Lessons Honored”,Classification: Straight Whiskey,Company: Beam Suntory,Distillery: Jim Beam,Release Date: August 2020,Proof: 122.8,Age: NAS,"Mashbill: Undisclosed (Blend of 4-year-old Kentucky Straight Brown Rice Bourbon, 8-year-old Kentucky Straight ""high rye"" Rye Whiskey, and 7-year-old Kentucky Straight Bourbon Whiskey)",Color: Copper,MSRP: $125,Official Website,Grass | Herbal | Apple | Light oak | Light brown sugar | Mild oak | Faint ethanol | Spicy at the tail end,Heavy cinnamon | Baking spice | Old oak | dark brown sugar | Heavy and fast ramp up of heat | Intense,Lingering cinnamon | Spicy red pepper | Black pepper | Damp oak | Mild dryness,"Beam releases a lot of great Booker’s Bourbon batches every year, but one knock against them is they sort of blend together. Their annual Little Book release does a lot to quell this complaint, with each “Chapter” standing out for something unique.

Out of the gate, Chapter 4’s blend of three different mashbill whiskeys (one of which is a brown rice bourbon) is special for Beam. As a result, its nose is the opposite of any Booker’s I’ve ever had featuring much more grassy and herbal notes. When it comes to the palate and finish though, they are predictably bold and surprisingly in the same flavor wheelhouse as Booker’s. Despite its complex blend, Chapter 4’s sip is decidedly not so.

But where Chapter 4 stands out is it cranks its cinnamon intensity to an 11. It’s beyond intense and combined with its red pepper spice, creates an explosion in your mouth. The difference this time is the flavors are doing the heavy lifting and not the proof. This results in a whiskey that is memorable in all of the right ways.",4,Eric,https://www.breakingbourbon.com/review/little-book-chapter-4-lessons-honored
Capsule Review,Old 55 Single Barrel Bourbon Bottled in Bond,Classification: Straight Bourbon,Company: Old 55 Distillery,Distillery: Old 55 Distillery,Release Date: Ongoing,Proof: 100,Age: 4 Years,"Mashbill: 80% Corn, 20% Wheat",Color: Copper,MSRP: $75 (2020),Official Website,Creme brulee | Vanilla | Maple sugar candy | Caramel | Graham cracker | Very sweet and inviting,Loads of sugary sweet notes | Maple sugar candy | Vanilla | Caramel | Brown sugar | Summer berries | Perfectly proofed | Rich explosion of flavors,Hint of oak | Light cinnamon spice | Molasses | Long with lingering sweet notes,"Wow what a pour from an up-and-coming distillery in Newtown, Indiana! Reaching its four year mark, numerous batches of Bottle in Bond were first released in June, 2020, with the bottle in review being from Batch 16D1A and bottled more recently in fall of 2020. The bourbon is made from an unusual corn-wheat mashbill that contains no malted barley, and first entered the 30 gallon level 3 char barrels at 112.5 proof where it ages underground. The resulting flavor profile is unusually sweet, but manages to keep the sweeter notes in check with a nice mouthfeel and near perfect proofing. Without question, this is one of the best bourbons I’ve ever tasted from such a young distillery, and rivals what the Kentucky majors are putting out at much higher ages. Take caution however, batches are small and the distillery is young, so there may be a wide variation from batch to batch.",4,Nick,https://www.breakingbourbon.com/review/old-55-single-barrel-bourbon-bottled-in-bond
